Unnamed: 0,Passage,Group,Length,Accuracy Scores,Execution Times,Mean Accuracy Score,Mean Execution Time,Variance of Mean Accuracy,Standard Deviation of Mean Accuracy,Variance of Mean Execution Time,Standard Deviation of Mean Execution Time
0,New York Times Politics,short,176,"[0.08258928571428571, 0.18861607142857142, 0.35825892857142855, 0.9921875, 0.10379464285714286, 0.04799107142857143, 0.08482142857142858, 0.1328125, 0.0, 0.24665178571428573]","[3.953181028366089, 3.9575390815734863, 3.9473519325256348, 3.6783857345581055, 3.9901680946350098, 3.9981141090393066, 4.062259912490845, 4.0213189125061035, 4.031994819641113, 3.97575306892395]",0.2237723214285714,3.961606669425964,0.0083687710924213,0.0914809876008197,0.0011278291105492144,0.03358316707145433
1,Lion Witch Wardrobe,short,292,"[0.9982471516213848, 0.4014022787028922, 0.9982471516213848, 0.12620508326029797, 0.9982471516213848, 0.22962313759859773, 0.9982471516213848, 0.19982471516213848, 0.1200701139351446, 0.175284837861525]","[4.711219072341919, 4.811964750289917, 4.286787033081055, 4.901322841644287, 4.3359880447387695, 4.878197908401489, 4.37599515914917, 4.958992958068848, 4.867746114730835, 4.97309684753418]",0.5245398773006136,4.710131072998047,0.017215761058209,0.1312088451980621,0.007354975150940643,0.0857611517584777
2,CS109 Course Reader,short,214,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4914645103324349, 1.0]","[4.0167741775512695, 3.995011806488037, 4.071808099746704, 4.253690958023071, 4.032189846038818, 4.01020622253418, 4.0193400382995605, 3.9982709884643555, 4.490100860595703, 4.032894134521484]",0.9491464510332436,4.092028713226318,0.0025860834425143,0.0508535489667565,0.002532524191881293,0.05032419092127854
3,Federalist Papers,short,267,"[0.4046153846153846, 0.42538461538461536, 1.0, 1.0, 1.0, 1.0, 0.34307692307692306, 1.0, 1.0, 1.0]","[5.0224449634552, 5.135258197784424, 4.353782892227173, 4.370227098464966, 4.595392942428589, 4.384702920913696, 5.141758918762207, 4.443928956985474, 4.404757022857666, 4.360842943191528]",0.8173076923076923,4.621309685707092,0.0086938757396449,0.0932409552699079,0.01148210422830977,0.10715458099544681
4,Harry Potter,short,258,"[0.9990706319702602, 0.9990706319702602, 0.24628252788104088, 0.9990706319702602, 0.9990706319702602, 0.9990706319702602, 0.9990706319702602, 0.9990706319702602, 0.9981412639405205, 0.5752788104089219]","[4.15968918800354, 4.134139776229858, 4.6549458503723145, 4.198841094970703, 4.101994037628174, 4.178694248199463, 4.47291898727417, 4.1281468868255615, 4.134829044342041, 4.632272958755493]",0.8813197026022305,4.2796472072601315,0.0067515276415011,0.0821676800299313,0.004781297064086326,0.06914692374998563
5,UN Adaptation Gap Report,short,191,"[0.22284122562674094, 0.42618384401114207, 0.37047353760445684, 0.3556174558960074, 0.0436397400185701, 0.07799442896935933, 0.1467038068709378, 0.09285051067780872, 1.0, 0.28133704735376047]","[4.511101961135864, 4.479846954345703, 4.5575127601623535, 4.57451605796814, 4.65584921836853, 4.565205097198486, 4.587289094924927, 4.544651985168457, 4.050076723098755, 4.546498775482178]",0.3017641597028784,4.50725486278534,0.007796339258696,0.0882968813644967,0.002795670995382314,0.0528741051497074
6,Pride and Prejudice,short,286,"[0.4284649776453055, 0.21162444113263784, 0.1527570789865872, 0.9985096870342772, 0.17287630402384502, 0.6259314456035767, 0.2965722801788376, 0.12965722801788376, 0.07302533532041729, 0.1497764530551416]","[5.189467191696167, 5.239970922470093, 5.191115856170654, 4.618823289871216, 5.293475151062012, 5.146393060684204, 5.171803951263428, 5.304732084274292, 5.203263998031616, 5.280454158782959]",0.3239195230998509,5.163949966430664,0.0083743675300808,0.0915115704710655,0.003960183574404002,0.06292998946769339
7,To Kill A Mockingbird,short,295,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3497822931785196, 0.42017416545718433, 1.0, 1.0]","[4.6265339851379395, 4.631129026412964, 4.660083293914795, 4.700419902801514, 4.640224933624268, 4.652094841003418, 5.298597097396851, 5.3434898853302, 4.597521066665649, 4.6641011238098145]",0.8769956458635704,4.781419515609741,0.0067520039255806,0.0821705782234773,0.008172210581181439,0.09040027976273879
8,New York Times Politics,medium,688,"[0.14090774250964105, 0.458320973005043, 0.9949569860575497, 0.21358647285671908, 0.19756748739246516, 0.9949569860575497, 0.9949569860575497, 0.9949569860575497, 0.28567190744586174, 0.19756748739246516]","[10.907810926437378, 10.659612894058228, 9.335298776626587, 10.884768009185791, 10.92605996131897, 9.071300983428955, 9.314365863800049, 9.132470846176147, 10.695858001708984, 10.84930682182312]",0.5473450014832394,10.177685308456422,0.0155455406707527,0.124681757570034,0.07018268510133263,0.26492014853788043
9,Lion Witch Wardrobe,medium,753,"[0.0010211027910142954, 1.0, 1.0, 0.2607215793056501, 0.18822328114363512, 1.0, 1.0, 1.0, 1.0, 1.0]","[9.940876960754395, 8.301748991012573, 8.506699085235596, 10.127475023269653, 9.844740152359009, 8.349453926086426, 8.335860967636108, 8.387139797210693, 8.303641080856323, 8.48369812965393]",0.7449965963240299,8.85813341140747,0.0172578389198569,0.1313690942339822,0.059900512502263914,0.24474581202190962
10,CS109 Course Reader,medium,602,"[1.0, 1.0, 1.0, 1.0, 0.3632907016937435, 0.3415139993086761, 0.523332181126858, 1.0, 1.0, 1.0]","[7.842875003814697, 7.939989328384399, 8.147017002105713, 7.8668458461761475, 9.610965013504028, 9.295145988464355, 9.287070989608765, 7.8826141357421875, 7.8540778160095215, 7.888722896575928]",0.8228136882129278,8.361532402038574,0.008358498470648,0.0914248241488493,0.052635502806680654,0.22942428556428077
11,Federalist Papers,medium,570,"[0.42257030971876114, 1.0, 1.0, 1.0, 1.0, 0.23994304022783908, 0.26201495194019225, 0.31612673549305803, 0.10039159843360626, 0.24172303310786758]","[8.883256196975708, 9.12540602684021, 7.1389429569244385, 7.0579211711883545, 6.952971935272217, 8.446385860443115, 8.384117841720581, 8.658468246459961, 9.109578132629395, 8.51298213005066]",0.5582769668921325,8.227003049850463,0.015072256192127,0.1227691174201683,0.07256974989190237,0.2693877315170503
12,Harry Potter,medium,685,"[1.0, 0.47821540606483093, 1.0, 1.0, 0.38898570930637855, 1.0, 1.0, 1.0, 1.0, 0.543046357615894]","[7.4705798625946045, 8.886203050613403, 7.469008207321167, 7.450678110122681, 8.916552305221558, 9.633623123168945, 7.2161149978637695, 7.265094041824341, 7.306411981582642, 8.727774143218994]",0.8410247472987104,8.03420398235321,0.0066852549719292,0.0817634085146236,0.08124137634261115,0.28502872897764386
13,UN Adaptation Gap Report,medium,714,"[1.0, 0.18342739866598257, 0.05515649050795279, 1.0, 0.3968701898409441, 1.0, 0.00538737814263725, 0.18394048229861468, 0.39507439712673165, 0.26141611082606464]","[9.105528116226196, 14.158681154251099, 11.342944145202637, 9.401909112930298, 11.210508108139038, 9.47889518737793, 11.165550947189331, 11.12948203086853, 11.015596151351929, 11.383602857589722]",0.4481272447408927,10.939269781112671,0.0160477645439582,0.1266797716447195,0.20833949496809887,0.4564422142704363
14,Pride and Prejudice,medium,700,"[0.9990406140070355, 0.15350175887432044, 0.9990406140070355, 0.9990406140070355, 0.3719219699392389, 0.9990406140070355, 0.9990406140070355, 0.9990406140070355, 0.9494723377038695, 0.9990406140070355]","[7.892185211181641, 9.449558019638062, 7.905914068222046, 7.968264102935791, 9.682111978530884, 8.003978967666626, 8.005275011062622, 8.308029890060425, 9.445925951004028, 7.974255084991455]",0.8468180364566678,8.463549828529358,0.0097661514681273,0.0988238405857988,0.055441209013986845,0.2354595698076144
15,To Kill A Mockingbird,medium,682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[8.185101985931396, 8.152530193328857, 8.163940191268921, 8.161417007446289, 8.052001953125, 8.233880996704102, 8.259940147399902, 8.146188020706177, 8.15204668045044, 8.186926126480103]",1.0,8.169397330284118,0.0,0.0,0.0003101044197585326,0.017609781933872224
16,New York Times Politics,long,1271,"[1.0, 0.18475599804145584, 0.13595560633262607, 0.17561612534682552, 1.0, 1.0, 1.0, 0.16745552472661987, 0.14917577933735923, 0.3442141341602742]","[17.554160833358765, 17.19936513900757, 16.816147089004517, 16.928557872772217, 14.128478050231934, 14.34510588645935, 14.181418895721436, 17.042854070663452, 17.498867988586426, 17.534425735473633]",0.5157173167945162,16.32293815612793,0.0176954928536458,0.1330244069847555,0.21751595850760266,0.4663860616566523
17,Lion Witch Wardrobe,long,1244,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1563643757625051, 1.0, 1.0]","[11.830559968948364, 11.895752906799316, 20.559048175811768, 11.749447107315063, 11.905716896057129, 11.752925872802734, 11.992048025131226, 14.689945936203003, 11.825001001358032, 11.84624695777893]",0.9156364375762506,13.004669284820556,0.0071172106648258,0.0843635624237494,0.7847347559886811,0.885852558831706
18,CS109 Course Reader,long,1220,"[1.0, 1.0, 0.18852876293908027, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[13.517742156982422, 13.63357162475586, 16.822318077087402, 13.559430837631226, 13.494065046310425, 13.387929916381836, 13.550968170166016, 13.535844087600708, 13.639070987701416, 13.469990015029907]",0.918852876293908,13.861093091964722,0.0065848556857717,0.0811471237060919,0.1088035800150311,0.3298538767621674
19,Federalist Papers,long,1098,"[1.0, 0.3568014705882353, 1.0, 1.0, 1.0, 0.31268382352941176, 0.3564338235294118, 0.13841911764705883, 1.0, 1.0]","[12.476556777954102, 15.093190908432007, 12.390326976776123, 12.182329177856445, 12.432494878768921, 15.549588203430176, 15.170614957809448, 15.133718967437744, 12.377561092376709, 12.183422803878784]",0.7164338235294119,13.498980474472045,0.0137612127847462,0.1173081957270942,0.22607699025720626,0.47547554117662694
20,Harry Potter,long,1323,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.40761736049601416, 1.0]","[13.285490036010742, 13.453946828842163, 13.463751792907715, 13.297815084457397, 13.389829158782959, 13.532294034957886, 13.295620203018188, 14.027498960494995, 16.29113006591797, 13.570672750473022]",0.9407617360496012,13.760804891586304,0.003509171915857,0.0592382639503985,0.08376382925864365,0.289419814903271
21,UN Adaptation Gap Report,long,1089,"[1.0, 1.0, 1.0, 0.16490939044481054, 0.18088962108731466, 0.009390444810543658, 1.0, 0.24975288303130147, 1.0, 0.20691927512355848]","[13.528679132461548, 14.013827800750732, 13.968043088912964, 16.837401866912842, 16.987884044647217, 17.14213800430298, 13.674844741821289, 16.838148832321167, 14.291785955429077, 17.007853746414185]",0.5811861614497529,15.4290607213974,0.0198602543213428,0.1409264145621495,0.26606311060713583,0.5158130578098385
22,Pride and Prejudice,long,1533,"[1.0, 0.4424269264836138, 1.0, 1.0, 1.0, 0.3122232063773251, 1.0, 1.0, 1.0, 1.0]","[15.267764329910278, 18.924808025360107, 15.756655216217041, 19.100014209747314, 15.965202808380127, 19.684823036193848, 16.233214855194092, 16.16611886024475, 15.445075273513794, 15.298457860946655]",0.8754650132860938,16.7842134475708,0.0069870557888674,0.0835886104015818,0.3007920850515388,0.5484451522728037
23,To Kill A Mockingbird,long,1483,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15.757982015609741, 15.70060110092163, 15.75121784210205, 16.381081104278564, 15.785560607910156, 15.608136892318726, 15.062215805053711, 15.032475233078003, 15.050595045089722, 15.324303150177002]",1.0,15.545416879653931,0.0,0.0,0.018465444031526963,0.13588761544573133
